정답여부, 문제 번호, 문제이름
true,5479,Pyramid
true,5480,전함
true,5484,정원
true,5485,평균값 수열
true,5486,Mountains
true,5487,Birthday
true,5496,Utopia Divided
true,5498,Batch Scheduling
true,5502,팰린드롬
true,5506,Contact
true,5509,Polygon
true,5520,The Clocks
true,5522,카드 게임
true,5523,경기 결과
true,5524,입실 관리
true,5525,IOIOI
true,5527,전구 장식
true,5528,달려라 IOI 열차
true,5529,저택
true,5530,JOIOI 탑
true,5531,버블 정렬
true,5532,방학 숙제
true,5533,유니크
true,5534,간판
true,5535,패셔니스타
true,5536,물고기의 서식 범위
true,5537,お土産購入計画
true,5538,JJOOII
true,5539,たのしいカードゲーム
true,5540,夜店
true,5541,釘
true,5542,JOI 국가의 행사
true,5543,상근날드
true,5544,리그
true,5545,최고의 피자
true,5546,파스타
true,5549,행성 탐사
true,5550,헌책방
true,5551,쇼핑몰
true,5552,걷는 산타클로스
true,5553,微生物実験
true,5554,심부름 가는 길
true,5555,반지
true,5556,타일
true,5557,1학년
true,5558,チーズ
true,5559,JOI 깃발
true,5561,과자의 분할
true,5565,영수증
true,5566,주사위 게임
true,5567,결혼식
true,5568,카드 놓기
true,5569,출근 경로
true,5570,산타클로스와 루돌프
true,5572,사다리 게임
true,5573,산책
true,5575,타임 카드
true,5576,콘테스트
true,5577,RBY팡!
true,5578,薄氷渡り
true,5579,シャッフル
true,5580,빙고 게임
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5586,JOI와 IOI
true,5587,카드 캡터 상근이
true,5588,별자리 찾기
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5612,터널의 입구와 출구
true,5613,계산기 프로그램
true,5615,아파트 임대
true,5618,공약수
true,5620,가장 가까운 두 점의 거리
true,5622,다이얼
true,5623,수열의 합
true,5624,좋은 수
true,5625,페스트리
true,5626,제단
true,5628,바이너리 행렬
true,5631,방사능
true,5632,버젼 관리 IDE
true,5635,생일
true,5636,소수 부분 문자열
true,5637,가장 긴 단어
true,5639,이진 검색 트리
true,5649,Line of Best Fit
true,5651,완전 중요한 간선
true,5656,비교 연산자
true,5666,Hot Dogs
true,5668,Arranging Heaps
true,5669,Boxes and Stones
true,5671,호텔 방 번호
true,5675,시침과 분침
true,5676,음주 코딩
true,5677,Joining Couples
true,5679,Hailstone Sequences
true,5680,Army buddies
true,5681,공 쌓기
true,5691,평균 중앙값 문제
true,5692,팩토리얼 진법
true,5693,Ants Colony
true,5694,Bingo!
true,5695,공원점
true,5696,숫자 세기
true,5698,Tautogram
true,5699,문자열 농장
true,5700,활동과잉 소년 강산이
true,5701,Ingenious Metro
true,5702,Jollo
true,5703,Kids’ Wishes
true,5704,팬그램
true,5705,Hexagonal Tiles
true,5715,Jingle Composing
true,5717,상근이의 친구들
true,5719,거의 최단 경로
true,5721,사탕 줍기 대회
true,5724,파인만
true,5729,수축하는 다각형
true,5738,He is offside!
true,5751,Head or Tail
true,5753,Pascal Library
true,5766,할아버지는 유명해!
true,5768,Divide and Conquer
true,5778,Fake tickets
true,5780,Uncle Tom’s Inherited Land
true,5789,한다 안한다
true,5800,성적 통계
true,5806,Help-or-else
true,5809,Oil Skimming
true,5811,낙하산 고리들
true,5812,크래이피쉬 글쓰는 기계
true,5813,이상적인 도시
true,5814,마상시합 토너먼트
true,5815,HIPERPROSTOR
true,5817,고통받는 난쟁이들
true,5818,SPIJUNI
true,5819,열대 식물원
true,5820,경주
true,5821,쌀 창고
true,5822,악어의 지하 도시
true,5823,코끼리
true,5824,Photo
true,5825,Yin and Yang
true,5826,Figure Eight
true,5828,Fuel Economy
true,5831,Blink
true,5832,Photo
true,5834,The Cow Run
true,5835,Hill Walk
true,5836,Necklace
true,5837,Poker Hands
true,5839,Cow Race
true,5840,Breed Proximity
true,5841,Breed Assignment
true,5842,Partitioning the Farm
true,5843,Taxi
true,5844,Route Design
true,5845,Perimeter
true,5846,Tractor
true,5847,Milk Scheduling
true,5848,Message Relay
true,5849,Cow Crossings
true,5850,Perimeter
true,5851,Cow Lineup
true,5853,Seating
true,5854,Painting the Fence
true,5856,Party Invitations
true,5858,Painting the Fence
true,5859,거짓말쟁이
true,5861,First!
true,5862,Running Away From the Barn
true,5864,Wifi Setup
true,5867,Scrambled Letters
true,5868,Crazy Fences
true,5869,Balanced Cow Breeds
true,5870,Concurrently Balanced Strings
true,5871,Balanced Trees
true,5873,Distant Pastures
true,5874,소를 찾아라
true,5875,오타
true,5878,Bookshelf
true,5879,Balanced Cow Subsets
true,5881,Bookshelf
true,5882,Running Laps
true,5883,아이폰 9S
true,5884,감시 카메라
true,5885,Islands
true,5888,Haybale Restacking
true,5889,Cows in a Skyscraper
true,5890,Tractor
true,5891,Flowerpot
true,5892,Landscaping
true,5893,17배
true,5894,Connect the Cows
true,5895,Wrong Directions
true,5896,효율적으로 소 사기
true,5898,Nearby Cows
true,5899,Overplanting
true,5900,Cow IDs
true,5901,Relocation
true,5902,Rope Folding
true,5903,Overplanting
true,5904,Moo 게임
true,5905,악당 로봇
true,5907,Bovine Alliance
true,5908,Delivery Route
true,5909,Bale Share
true,5910,Mountain Climbing
true,5911,선물
true,5912,Haybale Stacking
true,5913,준규와 사과
true,5914,Cow Photography
true,5915,Simplifying the Farm
true,5916,농장 관리
true,5917,Roadblock
true,5918,Umbrellas for Cows
true,5919,Hay Bales
true,5920,Cow Photography
true,5921,Escaping the Farm
true,5922,Above the Median
true,5923,바이너리 스도쿠
true,5924,Cow Steeplechase
true,5925,Cow Beauty Pageant
true,5926,Cow Lineup
true,5927,Tile Exchanging
true,5928,Contest Timing
true,5929,Awkward Digits
true,5930,Moo Sick
true,5931,Cow Beauty Pageant
true,5932,Cow Photographs
true,5933,Buying Feed
true,5934,Visiting Cows
true,5935,Banner
true,5936,Candy
true,5937,Chocolate Milk
true,5938,Daisy Chains in the Field
true,5939,Race Results
true,5940,Math Practice
true,5941,Cow Calisthenics
true,5942,Big Macs Around the World
true,5943,Threatening Letter
true,5944,Apple Delivery
true,5945,Treasure Chest
true,5946,The Trough Game
true,5947,Book Club
true,5948,Bad Random Numbers
true,5949,Adding Commas
true,5950,Bottleneck
true,5951,The Continental Cowngress
true,5952,Roads and Planes
true,5953,Profits
true,5954,Dividing the Gold
true,5955,Traffic Lights
true,5956,Symmetry
true,5957,Cleaning the Dishes
true,5958,Space Exploration
true,5959,Crop Circles
true,5960,Cowlphabet
true,5961,The Lost Cows
true,5962,Generic Cow Protests
true,5963,Cow Line
true,5964,Best Parenthesis
true,5965,The Triangle
true,5966,Cow Cotillion
true,5967,Cow Treats
true,5968,Hexagonal Pasture Network
true,5969,Brownie Slicing
true,5970,Tree Decoration
true,5971,Meeting Place
true,5972,택배 배송
true,5973,Bovine Bridge Battle
true,5974,Lucky Charms
true,5975,Pathfinding
true,5976,A spiral walk
true,5977,Mowing the Lawn
true,5978,Odd degrees
true,5979,납땜하기
true,5980,Corn Maze
true,5981,Cow Checkers
true,5982,Forgotten Password
true,5983,Learning Languages
true,5984,The Bovine Fire Drill
true,5985,Skewed Sorting
true,5986,3D Space Exploration
true,5987,String Function Encoding
true,5988,홀수일까 짝수일까
true,5989,The Robot Plow
true,5990,Barn Echoes
true,5991,Papaya Jungle
true,5992,The Leisurely Stroll
true,5993,Invasion of the Milkweed
true,5994,Allowance
true,5995,Bessie's Weight Problem
true,5996,Heat Wave
true,5997,Who Brings the Cookies?
true,5998,Lights
true,6004,The Chivalrous Cow
true,6006,Dizzy Cows
true,6007,Cow Toll Paths
true,6008,Video Game Troubles
true,6011,Selfish Grazing
true,6015,Taking Turns
true,6017,Cow Telephones
true,6021,DNA Sequencing
true,6022,Theater Seating
true,6024,Covering the Corral
true,6025,Cows on Ice
true,6026,Slowing down
true,6033,Great Cow Gathering
true,6034,Barn Allocation
true,6035,StarCowraft
true,6036,The Rock Game
true,6037,Test Taking
true,6038,Need For Speed
true,6039,Need For Speed
true,6040,Hexadecimal Conversion
true,6042,Longest Contiguous Subsequence
true,6043,Cow Politics
true,6047,Cow Hopscotch
true,6048,Water Slides
true,6049,Triangle Counting
true,6050,Mountain Watching
true,6051,시간 여행
true,6052,Cow Pals
true,6053,Mountain Watching
true,6054,Relay race
true,6058,Machine Schedule
true,6059,Pasture Walking
true,6064,카잉 달력
true,6065,Watering - 5
true,6068,시간 관리하기
true,6069,Switching Lights
true,6072,Trick or Treat on the Farm
true,6073,Secret Message
true,6075,Largest Fence
true,6076,Hay For Sale
true,6080,Bad Grass
true,6081,Hay Expenses
true,6082,Earthquake Damage
true,6084,Safe Travel
true,6085,Best Spot
true,6086,최대 유량
true,6090,Casting
true,6091,핑크 플로이드
true,6092,Strange Towers of Hanoi
true,6093,Competition
true,6097,Cruel Math Teacher
true,6099,Exams
true,6101,식당
true,6102,Earthquake Damage 2
true,6110,Watering - 2
true,6111,Watering - 3
true,6114,Ski Lessons
true,6115,Work Scheduling
true,6116,케이크
true,6117,Bovine Embroidery
true,6118,숨바꼭질
true,6120,Cow Digit Game
true,6124,Good Grass
true,6125,Treasure Cave
true,6130,Privileged Cows
true,6131,완전 제곱수
true,6132,전화선
true,6134,Sunscreen
true,6135,Cow Hurdles
true,6136,Milking Time
true,6137,문자열 생성
true,6139,Speed Reading
true,6141,Sightseeing Cows
true,6142,Gourmet Grazers
true,6143,문자열 생성 2
true,6144,Charm Bracelet
true,6145,Watering - 4
true,6146,신아를 만나러
true,6147,Bookshelf
true,6148,Bookshelf 2
true,6149,Card Stacking
true,6150,Summing Sums
true,6151,The Bovine Accordion and Banjo Orchestra
true,6153,Haybale Guessing
true,6154,Artificial Lake
true,6155,Cell Phone Network
true,6156,Cow Contest
true,6159,코스튬 파티
true,6160,Election Time
true,6161,iCow
true,6164,Hotel
true,6165,Game of Lines
true,6167,Eating Together
true,6168,Dining Cows
true,6169,Long Distance Racing
true,6171,땅따먹기
true,6172,Cow Jogging
true,6173,Pearl Pairing
true,6177,Statistics
true,6180,Crisis on the Farm
true,6181,플러드 필 (Flood Fill)
true,6188,Clear Cold Water
true,6190,Another Cow Number Game
true,6191,Cows on Skates
true,6192,Cow Pie Treasures
true,6193,Hungry Cows
true,6194,Building the Moat
true,6195,Fence Repair
true,6196,Corn Fields
true,6197,Roadblocks
true,6198,옥상 정원 꾸미기
true,6200,Round Numbers
true,6205,The Fewest Coins
true,6206,Milk Patterns
true,6209,제자리 멀리뛰기
true,6212,Dream Counting
true,6213,Balanced Lineup
true,6214,Problem Solving
true,6216,Protecting the Flowers
true,6217,Tallest Cow
true,6218,Balanced Lineup
true,6219,소수의 자격
true,6220,Making Change
true,6221,The Bale Tower
true,6223,Cow Sorting
true,6231,Gold Balanced Lineup
true,6232,Ranking the Cows
true,6233,Face The Right Way
true,6236,용돈 관리
true,6240,Cheapest Palindrome
true,6241,Dining
true,6246,풍선 놀이
true,6252,Fire Evacuation Plan
true,6267,Crazy Bits
true,6289,무-팰린드롬 숫자
true,6293,Vim
true,6297,Intervals
true,6299,Timetable
true,6302,Servers
true,6304,The die is cast
true,6305,"It's not a Bug, it's a Feature!"
true,6309,Fast Food
true,6312,Triangles
true,6318,Box of Bricks
true,6321,IBM 빼기 1
true,6322,직각 삼각형의 두 변
true,6326,Atlantis
true,6330,Ouroboros Snake
true,6359,만취한 상범
true,6374,To the Max
true,6376,e 계산
true,6378,디지털 루트
true,6384,Area
true,6399,Roman Numerals
true,6417,코코넛 그 두 번째 이야기
true,6439,교차
true,6443,애너그램
true,6458,Circle Through Three Points
true,6460,Pizza Anyone?
true,6463,팩트
true,6487,두 직선의 교차 여부
true,6497,전력난
true,6500,랜덤 숫자 만들기
true,6501,Hotel booking
true,6502,동혁 피자
true,6504,킬로미터를 마일로
true,6506,엘 도라도
true,6515,Frequent values
true,6526,Ambiguous permutations
true,6534,All Discs Considered
true,6543,그래프의 싱크
true,6549,히스토그램에서 가장 큰 직사각형
true,6550,부분 문자열
true,6569,몬드리안의 꿈
true,6571,피보나치 수의 개수
true,6587,France '98
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,6597,트리 복구
true,6600,원의 둘레
true,6603,로또
true,6605,Humble Numbers
true,6612,개미의 이동
true,6662,제수
true,6672,Electricity
true,6679,싱기한 네자리 숫자
true,6697,Pizza delivery
true,6698,Ball bearings
true,6699,S-Nim
true,6700,Sylvester construction
true,6704,Tourist
true,6706,Budget
true,6709,Jackpot
true,6721,Backward numbers
true,6723,Tournament ranking
true,6751,From 1987 to 2013
true,6753,Chances of winning
true,6754,Bridge transport
true,6755,Who is taller?
true,6756,Factor Solitaire
true,6757,팰린드롬 진법
true,6820,Dinner
true,6850,Cows
true,6851,Snowflakes
true,6852,Bowling for Numbers++
true,6884,소수 부분 수열
true,6986,절사평균
true,6987,월드컵
true,6988,타일 밟기
true,6989,채점
true,6996,애너그램
true,7038,Cow Patterns
true,7039,Barn Expansion
true,7040,밥 먹기
true,7043,Cleaning Shifts
true,7044,Bad Cowtractors
true,7045,Tree Cutting
true,7057,A highway and the seven dwarfs
true,7058,Royal guards
true,7081,Reading
true,7086,Sailing race
true,7095,Factorials
true,7138,Robots
true,7139,Toll
true,7140,데이터 만들기 1
true,7141,데이터 만들기 2
true,7142,데이터 만들기 3
true,7143,데이터 만들기 4
true,7144,데이터 만들기 5
true,7145,데이터 만들기 6
true,7146,데이터 만들기 7
true,7147,데이터 만들기 8
true,7148,Winter Roads
true,7149,Can of Worms
true,7153,Goat Ropes
true,7156,Unreal Estate
true,7287,등록
true,7299,Food Cubes
true,7300,Points
true,7326,Number Steps
true,7344,나무 막대
true,7345,다항식의 나머지 연산
true,7346,유전자 함수
true,7347,플립과 시프트
true,7348,테이블 옮기기
true,7349,Farmland
true,7358,Square Ice
true,7359,The Worm Turns
true,7379,Taxi Cab Scheme
true,7384,SETI
true,7418,Brackets sequence
true,7419,Cable master
true,7420,맹독 방벽
true,7424,숫자 쌍
true,7432,디스크 트리
true,7441,False coin
true,7453,합이 0인 네 정수
true,7469,K번째 수
true,7476,최대 공통 증가 수열
true,7482,상자 만들기
true,7483,Weird sort
true,7489,팩토리얼
true,7490,0 만들기
true,7507,올림픽 게임
true,7510,고급 수학
true,7511,소셜 네트워킹 어플리케이션
true,7512,연속하는 소수의 합
true,7513,준살 프로그래밍 대회
true,7515,Prehistoric Operating Systems
true,7517,Tudoku
true,7523,Gauß
true,7528,Holiday Gifts
true,7535,A Bug’s Life
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7572,간지(干支)
true,7573,고기잡이
true,7574,개구리
true,7575,바이러스
true,7576,토마토
true,7577,탐사
true,7578,공장
true,7579,앱
true,7587,Anagrams
true,7595,Triangles
true,7596,MP3 Songs
true,7600,문자가 몇갤까
true,7604,Reconstruction Trees
true,7610,Synchronization
true,7611,Watching
true,7613,보이 스카우트
true,7614,Parity
true,7615,해싱
true,7616,교실로 가는 길
true,7617,Company
true,7618,트리 유사도
true,7620,편집 거리
true,7621,Fish Catch
true,7626,직사각형
true,7627,스패닝 트리
true,7628,Another Rock-Paper-Scissors Problem
true,7629,Ball Painting
true,7630,City Driving
true,7631,Drunken Walk
true,7632,Empty Triangles
true,7634,Guessing Game
true,7637,AAAAHH! Overbooked!
true,7639,Counting Pixels
true,7640,Matryoshka Dolls
true,7643,Game Rigging
true,7644,Highway Construction
true,7648,"Matryoshka Dolls, Again"
true,7651,G-Avoiding Sequence
true,7652,Bonsai
true,7655,Leap Frog
true,7657,Rectangles
true,7658,Rectangles Too!
true,7662,이중 우선순위 큐
true,7668,Divisibility
true,7676,Saruman’s army
true,7677,Fibonacci
true,7687,지구 직육면체설
true,7719,Purify
true,7721,Hiring the crew
true,7722,Real Fun
true,7723,Cypher
true,7724,One way roads
true,7726,개꿀잼
true,7727,Byephone
true,7728,Painting patter
true,7729,Tree Game
true,7731,Neighbours
true,7735,Duopoly
true,7736,Stock Exchange
true,7737,삼각분할
true,7740,Ugly lines
true,7742,Railway
true,7744,Cakes
true,7770,아즈텍 피라미드
true,7772,구조 이성질체
true,7774,콘센트
true,7777,병원
true,7782,Alien
true,7783,B-행렬
true,7784,서로 다른 숫자
true,7785,회사에 있는 사람
true,7786,합 찾기
true,7787,"빨간 칩, 초록 칩"
true,7788,복도
true,7789,텔레프라임
true,7790,Joke
true,7791,KBTU party
true,7795,먹을 것인가 먹힐 것인가
true,7800,The Chosen Sub Matrix
true,7804,Taxi!
true,7805,Minimum Swap
true,7808,Email from The Professor
true,7811,Sultan's Land
true,7812,중앙 트리
true,7826,Lightning Energy Report
true,7827,Transitive Closure
true,7868,해밍 수열
true,7869,두 원
true,7881,YAPTCHA
true,7882,Skyscrapers
true,7888,두 교수
true,7889,힙 세기
true,7890,가까운 점 찾기
true,7894,큰 수
true,7907,Bytean Road Race
true,7908,Will It Stop?
true,7910,Gophers
true,7911,Laundry
true,7913,Afternoon Tea
true,7915,Cave
true,7916,Cross Spider
true,7938,Mniam mniam
true,7940,Armaty
true,7941,Sortowanie
true,7944,Autostrady
true,7946,Supermarket
true,7957,Cash Dispenser
true,7959,Toy Cars
true,7960,Piggy Banks
true,7962,A Journey to Mars
true,7963,Bank Notes
true,7964,Fibonacci Sums
true,7965,Dicing
true,7966,Template
true,7970,Double-row
true,7971,The Bus
true,7973,Dextrogyrate Camel
true,7975,버스 여행
true,7976,수열
true,7977,크리스 마틴
true,7980,Save the Dinosaurs
true,7981,장비를 정지합니다
true,7982,순열 그래프의 연결성 판별
true,7983,내일 할거야
true,7984,두더지 잡기
true,7987,Spies
true,7989,The Bridge
true,7990,Gates
true,7992,Passage
true,7993,후르츠 치킨
true,7994,The Islands
true,7997,Sequences without Stammers
true,7998,Chocolate
true,8000,Printed-Circuit Boards
true,8001,Smugglers
true,8003,Motorways
true,8004,Trinomial
true,8006,Connections
true,8007,Treasure
true,8008,Sums
true,8010,Shuffle
true,8011,Railways
true,8012,한동이는 영업사원!
true,8014,Island
true,8015,Castle
true,8016,Insulator
true,8017,Parcel
true,8019,Resort
true,8027,Antiprime Numbers
true,8029,Density Map
true,8030,Intervals
true,8031,Weaker Goldbach
true,8032,Peaceful Comission
true,8034,Ants and the Ladybug
true,8036,Wandering Flea Trainers
true,8040,Goldmine
true,8041,Chain
true,8042,Where to Build a Brewery?
true,8043,Stripes
true,8044,Viruses
true,8048,Code
true,8050,Lollobrigida
true,8051,P-Broken-Line
true,8052,Agents
true,8053,Repetitions
true,8054,Promotion
true,8055,Polygons
true,8056,Musketeers
true,8059,Speleology
true,8061,Bitmap
true,8063,Three-Coloring of Binary Trees
true,8064,Store-Keeper
true,8065,Map
true,8067,Primitivus
true,8068,Water
true,8070,Painter's Studio
true,8071,One-sequence
true,8072,Polygon
true,8073,Road Net
true,8074,How to Pack Containers?
true,8076,Window
true,8077,Frogman
true,8078,Assembler Circuits
true,8080,Chase
true,8081,The Lightest Language
true,8082,Flat Broken Lines
true,8083,Rectangles
true,8086,Cheap Travels
true,8087,XOR Gates
true,8088,Airports
true,8091,Petrol
true,8093,Credibility of Witnesses
true,8094,Canoes
true,8095,The Number of N-k-special Sets
true,8096,Monochromatic Triangles
true,8098,Lecture Halls Reservation
true,8101,Rods
true,8102,Castle
true,8103,Rooks
true,8104,Fibonacci Words
true,8106,Agents
true,8107,Boxes
true,8108,Knights
true,8109,Word Equalizing
true,8111,0과 1
true,8112,0과 1 - 2
true,8117,Triangles
true,8118,Board Covering
true,8119,Polygon
true,8120,Coding of Permutations
true,8121,Step Traversing a Tree
true,8123,The Concatenation of Words
true,8124,Job Scheduling
true,8125,Professor Szu
true,8127,Schools
true,8128,Subway
true,8129,The Invasion
true,8130,The Postman
true,8131,Ploughing
true,8133,Aesthetic Text
true,8134,Crystals
true,8135,Teddies
true,8136,Palindromes
true,8137,Sophie
true,8138,Tourist Attractions
true,8140,Trees
true,8141,Axes of Symmetry
true,8142,Ridges and Valleys
true,8143,The Flood
true,8145,Megalopolis
true,8146,Tetris Attack
true,8149,Weights
true,8150,Driving Exam
true,8155,Postering
true,8158,Blockade
true,8159,BBB
true,8160,Trains
true,8161,Mafia
true,8166,Triangles
true,8167,Permutation
true,8169,소화기 설치
true,8170,Pebbles
true,8171,Algorithm Speedup
true,8172,Elephants
true,8173,Fire Brigade
true,8175,The Walk of Bytie-boy
true,8176,Ticket Inspector
true,8177,Ice Skates
true,8178,Hexer
true,8181,Arrays
true,8182,Island
true,8184,Guilds
true,8185,Railway
true,8186,Beads
true,8188,Intelligence Test
true,8189,Antisymmetry
true,8190,Hamsters
true,8191,Blocks
true,8192,Sheep
true,8193,킹세종
true,8194,Monotonicity
true,8195,Monotonicity 2
true,8196,The Minima Game
true,8197,Lamp
true,8198,Frog
true,8200,Bridges
true,8201,Pilots
true,8202,Conspiracy
true,8203,Lollipop
true,8204,Lightning Conductor
true,8206,Plot
true,8207,Strongbox
true,8208,Difference
true,8209,Garbage
true,8210,Tree Rotations 2
true,8211,Tree Rotations
true,8212,Temperature
true,8213,Dynamite
true,8214,Party
true,8215,Inspection
true,8217,유성
true,8218,Sticks
true,8219,Programming Contest
true,8220,Festival
true,8221,Letters
true,8222,Distance
true,8223,Rendezvous
true,8225,Tour de Byteotia
true,8226,Vouchers
true,8227,Cloakroom
true,8228,A Horrible Poem
true,8229,Fibonacci Representation
true,8230,Squarks
true,8233,Minimalist Security
true,8234,Warehouse Store
true,8235,Prefixuffix
true,8236,Price List
true,8238,Multidrink
true,8239,Taxis
true,8240,Take-out
true,8241,Walk
true,8243,Triumphal arch
true,8244,Tales of seafaring
true,8254,Tanie linie
true,8262,Dwa torty
true,8263,Inwazja kosmitów
true,8264,Kręgi w zbożu
true,8265,Plecak
true,8266,Podatek
true,8270,Tulips
true,8274,Journeys
true,8282,Automorphisms
true,8283,Kangaroos
true,8286,Road Network 2
true,8288,Byteland Worldbeat Publishers
true,8289,Exam
true,8291,Coprime Numbers
true,8292,Telescope
true,8294,Hard Choice
true,8295,Rectangles
true,8308,Firm
true,8310,Riddle
true,8311,Variable Subsequences
true,8312,Rectangles 2
true,8313,Sweets
true,8314,Acyclic Decomposition
true,8316,Byteball Match
true,8317,Army Training
true,8320,직사각형을 만드는 방법
true,8322,"(K,N)-나이트"
true,8330,순열
true,8336,Chess
true,8337,Rectangles 2
true,8339,Fibonacci Machine
true,8360,Potato
true,8361,Near 2
true,8362,Near
true,8387,Dyslexia
true,8388,Inversions
true,8389,Speed Limits
true,8393,합
true,8394,악수
true,8411,Motorways
true,8416,Czy umiesz potęgować?
true,8437,Julka
true,8446,Rączy jelonek
true,8448,Wczasy
true,8450,Ninja
true,8452,그래프와 쿼리
true,8453,Plan budowy autostrad
true,8457,Prefikso-sufiksy
true,8458,Roboty binarne
true,8459,Gruntowny przekręt
true,8460,Tramwaje
true,8462,배열의 힘
true,8464,Non-Squarefree Numbers
true,8465,Peaks
true,8466,Creative Accounting
true,8467,Keyboard
true,8468,Garden
true,8469,Matchings
true,8470,Life of the Party
true,8471,Party
true,8472,Vacation
true,8473,Monopoly
true,8475,Tower
true,8476,Highways
true,8477,Palindromic Equivalence
true,8478,Chessboard
true,8479,Godzilla
true,8480,Excursion
true,8482,Express Delivery
true,8483,Earthquake
true,8493,Bajtori
true,8496,Godzilla
true,8501,Zamknąć Godzillę!
true,8506,Leonardo's Numbers
true,8507,Pejntbrasz
true,8523,Dice
true,8529,NumberEater
true,8532,Excursion
true,8533,Zachody Słońca 2
true,8535,Guessing Game
true,8536,땅콩의 개수
true,8545,Zadanie próbne
true,8595,히든 넘버
true,8653,Raper
true,8658,Liczba
true,8659,Samochody
true,8660,Sumy i różnice
true,8661,Stopki
true,8662,Szuflady
true,8663,Konik polny
true,8664,Kwadrat
true,8665,Odległość
true,8666,Zakład
true,8667,Gwoździe
true,8668,Konik polny 2
true,8669,Las
true,8670,Przegrody
true,8671,Długa taśma
true,8672,Drabina
true,8673,Krany
true,8674,Tabliczka
true,8675,Dwie wieże
true,8676,Figury
true,8677,Miasta
true,8678,Zbiór
true,8704,Trójmiasto
true,8710,Koszykarz
true,8711,Odchudzanie
true,8712,Wężyk
true,8713,Znak działania
true,8714,Monety
true,8715,Permutacja
true,8716,Pole
true,8717,Taśma
true,8718,Bałwanek
true,8719,Piłeczka
true,8720,Manipulacja rankingu
true,8721,Wykreślanka
true,8722,Kratki
true,8723,Patyki
true,8724,Pinezki
true,8725,Szachy
true,8726,Dziewczynki
true,8727,Farby
true,8728,Grusze i jabłonie
true,8729,Siłownia
true,8741,이진수 합
true,8753,Przyjazne punkty
true,8872,빌라봉
true,8873,미술 시간
true,8874,웜뱃
true,8875,장난감 정리 로봇
true,8876,바자와 샤자
true,8877,Self-Assembly
true,8878,"Hey, Better Bettor"
true,8879,Surely You Congest
true,8880,인수
true,8881,Harvard
true,8882,Low Power
true,8884,마트료시카
true,8885,Pirate Chest
true,8886,오염 해결책
true,8889,등고선 지도
true,8890,Critical 3-Path
true,8891,점 숫자
true,8892,팰린드롬
true,8893,Pandora
true,8895,막대 배치
true,8896,가위 바위 보
true,8897,Slicing Tree
true,8898,스포츠 전문 채널 GSK
true,8899,Square Annulus
true,8900,Block Compaction
true,8901,화학 제품
true,8902,색상의 길이
true,8903,장비
true,8904,가구 공장
true,8907,네온 사인
true,8908,Pizza Delivery
true,8909,Soju
true,8911,거북이
true,8912,Sales
true,8913,문자열 뽑기
true,8916,이진 검색 트리
true,8920,음식점 개업
true,8921,KTX 열차 기지
true,8922,두찌 수열
true,8924,Airport
true,8925,GC-비율
true,8926,점프
true,8930,Cellular Network
true,8932,7종 경기
true,8933,MCS
true,8941,Molar mass
true,8944,이진 검색 트리 2
true,8949,대충 더해
true,8958,OX퀴즈
true,8974,희주의 수학시험
true,8975,PJESMA
true,8977,DISPLEJ
true,8979,올림픽
true,8980,택배
true,8981,입력숫자
true,8982,수족관 1
true,8983,사냥꾼
true,8984,막대기
true,8985,수족관 2
true,8986,전봇대
true,8987,수족관 3
true,8989,시계
true,8992,집기 게임
true,9006,다리
true,9007,카누 선수
true,9008,Castle
true,9009,피보나치
true,9010,Möbius Strip
true,9011,순서
true,9012,괄호
true,9013,Parents
true,9014,PCB
true,9015,정사각형
true,9019,DSLR
true,9020,골드바흐의 추측
true,9021,숫자 퍼즐
true,9023,연습시즌
true,9027,Stadium
true,9028,Iris (비밀번호)
true,9029,정육면체
true,9034,순위
true,9037,The candy war
true,9046,복호화
true,9047,6174
true,9056,Letter Bank
true,9057,ACM-UCPC
true,9070,장보기
true,9076,점수 집계
true,9077,지뢰제거
true,9078,정렬
true,9079,동전 게임
true,9080,PC방 요금
true,9081,단어 맞추기
true,9082,지뢰찾기
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9093,단어 뒤집기
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9141,Dámy
true,9151,Starship Hakodate-maru
true,9170,Single Digit Adder
true,9176,메르센 합성수
true,9177,단어 섞기
true,9182,Biorhythms
true,9184,신나는 함수 실행
true,9196,정수 직사각형
true,9202,Boggle
true,9204,체스
true,9205,맥주 마시면서 걸어가기
true,9208,링월드
true,9209,The King of the North
true,9212,트라이앵글
true,9226,도깨비말
true,9236,고급 레스토랑
true,9237,이장님 초대
true,9238,당근 볶기
true,9240,로버트 후드
true,9241,바이러스 복제
true,9242,폭탄 해체
true,9243,파일 완전 삭제
true,9244,핀볼
true,9248,Suffix Array
true,9249,최장 공통 부분 문자열
true,9250,문자열 집합 판별
true,9251,LCS
true,9252,LCS 2
true,9253,스페셜 저지
true,9263,Russian Dolls
true,9264,Intercity
true,9267,A+B
true,9269,Points
true,9270,Red John Game
true,9272,상근이의 아이디어
true,9276,채소 보호
true,9281,전차
